region, interest
Nashville,100
Detroit,
New Orleans,
Alexandria,
Charlotte,88
Atlanta,85
Plano,84
Yonkers,
Indianapolis,
Jacksonville,
Orlando,
Louisville,
Chicago,74
San Antonio,73
Houston,70
Oklahoma City,
Dallas,68
Fort Worth,
Omaha,
Washington,62
Philadelphia,61
Phoenix,59
Raleigh,
San Jose,50
St. Louis,
Columbus,
Sacramento,
Los Angeles,48
Austin,48
New York,43
Boston,43
Tampa,
Denver,42
Portland,
San Francisco,41
San Diego,40
Miami,
Minneapolis,
Seattle,
Toronto,17
London,13
Hyderabad,
Bengaluru,
Mumbai,
Sydney,
New Delhi,9
